Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 377 | Energy-Renewable-Contracts (jp:377,idx:214)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5412541,328.0,(26|33)
0.5202399,347.0,(20|27)
0.1885714,33.0,(19|26)
0.1653226,41.0,(19|27)
0.1556420,40.0,(20|26)
0.1326531,13.0,(21|23)
0.1120690,13.0,(20|24)
0.1111111,1.0,(20|21)
0.1086956,5.0,(20|23)
0.1047297,31.0,(19|22)
0.1000000,2.0,(29|26)
0.09895834,19.0,(20|25)
0.09174312,10.0,(21|27)
0.08588957,14.0,(21|17)
0.08333334,5.0,(19|25)
0.07453416,12.0,(19|23)
0.06896552,6.0,(18|26)
0.06250000,2.0,(10|12)
0.05555556,1.0,(30|24)
0.05513784,22.0,(21|22)
0.05263158,4.0,(16|24)
0.04761905,3.0,(3|13)
0.04587156,5.0,(21|26)
0.04477612,6.0,(5|20)
0.04201681,5.0,(9|25)
0.04000000,2.0,(21|12)
0.03703704,3.0,(9|12)
0.03571429,1.0,(18|24)
0.03508772,2.0,(19|28)
0.03225806,3.0,(4|22)
0.03205128,5.0,(24|18)
0.03125000,2.0,(12|34)
0.03030303,4.0,(22|23)
0.03030303,4.0,(23|23)
0.02898551,2.0,(7|41)
0.02777778,1.0,(14|14)
0.02702703,2.0,(49|25)
0.02666667,4.0,(3|19)
0.02659575,5.0,(28|23)
0.02586207,3.0,(26|20)
0.02500000,4.0,(24|23)
0.02469136,2.0,(7|27)
0.02469136,2.0,(25|23)
0.02343750,6.0,(4|18)
0.02325581,1.0,(28|26)
0.02272727,1.0,(22|17)
0.02127660,5.0,(3|11)
0.02127660,6.0,(17|25)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02000000,1.0,(17|37)
0.01960784,4.0,(16|31)
0.01941748,2.0,(6|15)
0.01886792,2.0,(24|48)
0.01886792,2.0,(25|48)
0.01851852,2.0,(6|25)
0.01796407,3.0,(4|35)
0.01785714,2.0,(4|47)
0.01785714,2.0,(4|48)
0.01785714,4.0,(21|18)
0.01754386,2.0,(2|22)
0.01739130,4.0,(23|20)
0.01724138,1.0,(12|13)
0.01714286,3.0,(3|18)
0.01694915,1.0,(7|16)
0.01687764,4.0,(24|21)
0.01685393,3.0,(5|22)
0.01639344,3.0,(7|25)
0.01639344,1.0,(14|21)
0.01639344,1.0,(26|23)
0.01621622,3.0,(45|34)
0.01612903,1.0,(6|7)
0.01574803,2.0,(48|26)
0.01570681,3.0,(4|13)
0.01562500,1.0,(19|20)
0.01520913,4.0,(5|10)
0.01520913,4.0,(5|11)
0.01515152,1.0,(2|25)
0.01515152,1.0,(6|26)
0.01492537,1.0,(18|16)
0.01481481,4.0,(13|18)
0.01477833,3.0,(2|20)
0.01428571,2.0,(5|26)
0.01398601,2.0,(1|7)
0.01398601,2.0,(49|7)
0.01388889,2.0,(9|11)
0.01369863,1.0,(29|0)
0.01363636,3.0,(26|10)
0.01351351,1.0,(23|21)
0.01326260,5.0,(22|3)
0.01315789,3.0,(9|26)
0.01298701,1.0,(21|25)
0.01290323,2.0,(13|5)
0.01257862,2.0,(18|25)
0.01197605,2.0,(23|9)
0.01190476,2.0,(0|27)
0.01183432,2.0,(23|30)
0.01176471,3.0,(1|21)
0.01176471,1.0,(21|15)
0.01162791,1.0,(4|11)
0.01162791,1.0,(4|12)
0.01153846,3.0,(22|25)
0.01149425,1.0,(19|30)
0.01111111,1.0,(7|26)
0.01104972,2.0,(49|27)
0.01086957,1.0,(8|17)
0.01086957,1.0,(18|19)
0.01075269,2.0,(23|31)
0.01041667,1.0,(5|12)
0.01020408,1.0,(1|4)
0.01015228,2.0,(6|27)
0.01005025,2.0,(23|22)
0.009933775,3.0,(27|16)
0.009803922,1.0,(34|27)
0.009784736,5.0,(6|28)
0.009708738,1.0,(32|2)
0.009592326,4.0,(21|16)
0.009554140,3.0,(29|25)
0.009433962,1.0,(20|9)
0.008968610,2.0,(1|20)
0.008928572,5.0,(0|26)
0.008928572,3.0,(7|19)
0.008771930,1.0,(10|40)
0.008264462,1.0,(4|26)
0.008264462,1.0,(28|25)
0.008241759,3.0,(11|7)
0.008130081,1.0,(8|27)
0.008000000,1.0,(8|14)
0.007874016,1.0,(19|21)
0.007751938,3.0,(26|4)
0.007518797,1.0,(10|11)
0.007462686,2.0,(3|15)
0.007380074,2.0,(2|19)
0.007352941,1.0,(45|32)
0.007326007,2.0,(13|38)
0.007299270,1.0,(27|20)
0.007299270,1.0,(38|11)
0.007194245,1.0,(0|22)
0.007067138,2.0,(44|34)
0.006849315,1.0,(23|26)
0.006818182,3.0,(29|24)
0.006666667,1.0,(16|13)
0.006622517,2.0,(1|23)
0.006622517,1.0,(23|48)
0.006578947,2.0,(27|24)
0.006535948,1.0,(18|23)
0.006472492,2.0,(26|22)
0.006410256,1.0,(49|5)
0.006396588,3.0,(25|18)
0.006329114,1.0,(26|28)
0.006289308,1.0,(3|23)
0.005882353,1.0,(26|9)
0.005730659,2.0,(24|22)
