Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 389 | ERISA-Health (jp:389,idx:224)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6759582,194.0,(1|1)
0.6000000,3.0,(3|2)
0.3990719,172.0,(0|1)
0.3990719,172.0,(0|2)
0.3786408,39.0,(1|0)
0.2954545,39.0,(1|2)
0.2439024,10.0,(2|48)
0.2272727,40.0,(0|0)
0.1601732,37.0,(0|49)
0.1504425,17.0,(2|0)
0.1025641,12.0,(1|49)
0.08333334,2.0,(0|45)
0.07692308,1.0,(34|42)
0.06666667,6.0,(3|47)
0.06060606,2.0,(5|48)
0.05263158,5.0,(1|48)
0.04712042,9.0,(2|47)
0.04687500,3.0,(12|48)
0.03816794,5.0,(1|47)
0.03448276,1.0,(8|41)
0.03305785,4.0,(0|46)
0.03243243,6.0,(3|46)
0.03174603,2.0,(3|0)
0.03174603,2.0,(3|48)
0.02631579,1.0,(1|44)
0.02564103,1.0,(42|44)
0.02500000,2.0,(7|46)
0.02380952,2.0,(15|15)
0.02325581,2.0,(15|14)
0.02061856,2.0,(2|46)
0.01724138,1.0,(12|13)
0.01712329,5.0,(33|42)
0.01709402,2.0,(0|14)
0.01612903,1.0,(6|7)
0.01587302,1.0,(3|13)
0.01492537,1.0,(39|5)
0.01449275,2.0,(1|46)
0.01408451,1.0,(3|44)
0.01408451,1.0,(20|3)
0.01398601,2.0,(0|43)
0.01333333,2.0,(2|49)
0.01333333,2.0,(4|46)
0.01298701,2.0,(12|21)
0.01265823,1.0,(10|42)
0.01250000,1.0,(11|13)
0.01234568,1.0,(9|12)
0.01219512,1.0,(0|47)
0.01176471,1.0,(35|42)
0.01162791,1.0,(4|11)
0.01162791,1.0,(4|12)
0.01162791,1.0,(8|0)
0.01149425,2.0,(3|3)
0.01149425,1.0,(9|44)
0.01111111,2.0,(20|7)
0.01052632,1.0,(1|17)
0.01052632,1.0,(2|16)
0.01052632,1.0,(49|44)
0.01030928,1.0,(6|49)
0.01020408,1.0,(5|40)
0.01010101,1.0,(9|46)
0.009900990,1.0,(11|31)
0.009389671,2.0,(25|47)
0.009345794,2.0,(46|37)
0.009132420,2.0,(48|38)
0.009132420,2.0,(48|39)
0.008695652,1.0,(10|46)
0.008130081,1.0,(1|36)
0.007936508,1.0,(2|45)
0.006849315,1.0,(16|5)
0.006451613,1.0,(33|44)
0.006329114,1.0,(1|40)
0.005988024,1.0,(20|6)
0.005917160,1.0,(8|43)
0.005813953,1.0,(10|30)
0.005714286,1.0,(7|34)
0.005405406,1.0,(39|42)
0.005291005,1.0,(22|47)
0.005000000,1.0,(2|36)
0.004694836,1.0,(15|29)
0.004454343,2.0,(42|41)
0.004434590,2.0,(9|33)
0.004291845,1.0,(46|32)
0.004264392,2.0,(22|13)
0.004219409,1.0,(1|39)
0.004032258,1.0,(15|23)
0.003787879,1.0,(49|46)
0.003472222,1.0,(9|31)
0.003412969,1.0,(44|44)
0.002754821,1.0,(13|9)
0.002710027,1.0,(40|44)
0.002631579,1.0,(1|13)
0.002597403,1.0,(3|42)
0.002583979,1.0,(22|42)
0.002325581,1.0,(19|5)
0.002283105,1.0,(13|31)
0.001876173,1.0,(38|43)
0.001785714,1.0,(0|26)
0.001661130,1.0,(11|0)
