Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 390 | ERISA-Retirement Plans (jp:390,idx:225)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8571429,570.0,(35|44)
0.7731959,75.0,(35|45)
0.7366412,193.0,(35|43)
0.6603774,35.0,(34|45)
0.6528000,408.0,(36|45)
0.6235294,53.0,(35|42)
0.5551331,146.0,(36|43)
0.4979079,119.0,(34|44)
0.4829060,113.0,(36|44)
0.4090909,45.0,(34|43)
0.4031250,129.0,(49|48)
0.3809524,16.0,(1|45)
0.3521127,25.0,(49|49)
0.3205128,25.0,(0|44)
0.2897727,51.0,(0|0)
0.2807018,16.0,(49|47)
0.2783505,27.0,(2|46)
0.2681564,48.0,(0|48)
0.2631579,5.0,(37|42)
0.2608696,36.0,(1|46)
0.2112676,15.0,(47|47)
0.2105263,4.0,(49|0)
0.2052632,39.0,(48|48)
0.1970803,27.0,(37|43)
0.1830986,13.0,(3|45)
0.1780105,34.0,(2|47)
0.1729730,32.0,(3|46)
0.1709402,20.0,(1|49)
0.1684211,16.0,(49|44)
0.1570248,19.0,(0|46)
0.1504425,17.0,(2|0)
0.1500000,3.0,(47|46)
0.1400000,21.0,(2|49)
0.1400000,21.0,(4|46)
0.1359223,14.0,(1|0)
0.1343284,9.0,(39|5)
0.1341991,31.0,(0|49)
0.1333333,12.0,(3|47)
0.1315790,5.0,(1|44)
0.1290323,8.0,(4|45)
0.1269841,8.0,(3|0)
0.1269841,8.0,(3|48)
0.1188811,17.0,(0|43)
0.1097561,9.0,(0|47)
0.09677419,3.0,(4|28)
0.09523810,2.0,(49|45)
0.08695652,2.0,(3|31)
0.08421053,8.0,(1|48)
0.08333334,2.0,(0|45)
0.08000000,2.0,(4|1)
0.07692308,1.0,(34|42)
0.07575758,10.0,(1|2)
0.06896552,6.0,(8|46)
0.06870229,9.0,(1|47)
0.06756756,5.0,(49|25)
0.06620209,19.0,(1|1)
0.06250000,2.0,(48|49)
0.06122449,3.0,(16|14)
0.06060606,6.0,(4|2)
0.06060606,2.0,(10|44)
0.05660377,3.0,(11|43)
0.05660377,3.0,(33|43)
0.05454545,3.0,(10|41)
0.05376344,5.0,(10|5)
0.05263158,2.0,(2|1)
0.05263158,1.0,(3|29)
0.05263158,1.0,(12|41)
0.05172414,3.0,(12|13)
0.05128205,4.0,(11|46)
0.05128205,2.0,(42|44)
0.04924243,13.0,(49|46)
0.04878049,2.0,(2|48)
0.04794521,14.0,(33|42)
0.04716981,5.0,(24|48)
0.04716981,5.0,(25|48)
0.04639175,18.0,(9|5)
0.04575163,7.0,(2|3)
0.04575163,7.0,(3|1)
0.04566210,10.0,(48|38)
0.04566210,10.0,(48|39)
0.04545455,1.0,(0|33)
0.04545455,5.0,(13|49)
0.04347826,1.0,(7|42)
0.04285714,3.0,(12|14)
0.04109589,3.0,(7|4)
0.04000000,2.0,(5|47)
0.03846154,1.0,(46|39)
0.03783784,7.0,(39|42)
0.03676471,5.0,(22|44)
0.03571429,4.0,(4|47)
0.03571429,4.0,(4|48)
0.03571429,1.0,(18|24)
0.03424658,5.0,(7|1)
0.03418804,4.0,(0|14)
0.03333334,1.0,(13|25)
0.03333334,1.0,(15|43)
0.03252032,4.0,(1|16)
0.03225806,2.0,(6|7)
0.03125000,2.0,(12|34)
0.03030303,3.0,(9|46)
0.02985075,2.0,(18|16)
0.02941176,2.0,(17|14)
0.02928870,7.0,(44|45)
0.02909091,8.0,(13|41)
0.02857143,4.0,(2|17)
0.02857143,2.0,(9|0)
0.02702703,1.0,(11|42)
0.02643172,6.0,(4|8)
0.02631579,1.0,(0|11)
0.02631579,4.0,(40|4)
0.02531646,2.0,(10|42)
0.02500000,2.0,(11|13)
0.02500000,1.0,(25|38)
0.02419355,3.0,(1|15)
0.02413793,7.0,(9|4)
0.02380952,1.0,(0|6)
0.02380952,3.0,(2|45)
0.02380952,1.0,(8|42)
0.02366864,4.0,(9|41)
0.02347418,5.0,(25|47)
0.02325581,2.0,(15|14)
0.02298851,2.0,(9|44)
0.02298851,2.0,(10|1)
0.02283105,5.0,(2|4)
