Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 395 | RP Transactions-Leasing (jp:395,idx:230)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7758945,412.0,(0|21)
0.7758945,412.0,(49|21)
0.5965608,451.0,(0|23)
0.5928571,83.0,(0|20)
0.5119617,107.0,(1|19)
0.4798206,107.0,(1|20)
0.4028777,56.0,(0|22)
0.3882353,99.0,(1|21)
0.3755656,83.0,(2|21)
0.3239437,23.0,(1|25)
0.2660098,54.0,(2|20)
0.2651515,35.0,(2|18)
0.2619048,22.0,(1|24)
0.2500000,1.0,(0|24)
0.2307692,30.0,(1|18)
0.2251656,68.0,(1|23)
0.2208589,36.0,(3|20)
0.1863636,41.0,(1|22)
0.1771218,48.0,(2|19)
0.1761518,65.0,(2|24)
0.1754386,20.0,(2|22)
0.1666667,1.0,(14|26)
0.1666667,1.0,(15|25)
0.1553398,16.0,(6|15)
0.1493506,23.0,(0|19)
0.1463415,6.0,(2|23)
0.1440000,36.0,(3|16)
0.1214286,17.0,(2|17)
0.1111111,9.0,(7|27)
0.1066667,16.0,(3|19)
0.1065990,21.0,(6|27)
0.09375000,9.0,(22|20)
0.09302326,12.0,(8|26)
0.09259259,5.0,(3|21)
0.08571429,15.0,(3|17)
0.08571429,15.0,(3|18)
0.08247422,16.0,(4|17)
0.07936508,5.0,(3|13)
0.07894737,9.0,(22|24)
0.07317073,9.0,(1|16)
0.07291666,14.0,(4|14)
0.07291666,14.0,(4|15)
0.07272727,8.0,(5|17)
0.06976745,3.0,(34|4)
0.06896552,2.0,(8|41)
0.06321839,11.0,(1|27)
0.06250000,4.0,(12|48)
0.06250000,1.0,(15|27)
0.06060606,2.0,(5|48)
0.05714286,8.0,(5|16)
0.05714286,8.0,(6|16)
0.05691057,7.0,(8|27)
0.05645161,7.0,(1|15)
0.05555556,3.0,(5|5)
0.05555556,3.0,(6|6)
0.05555556,5.0,(7|26)
0.05325444,9.0,(4|19)
0.05319149,10.0,(28|23)
0.05263158,5.0,(1|17)
0.05263158,5.0,(2|16)
0.05194805,4.0,(21|25)
0.04687500,12.0,(4|18)
0.04672897,10.0,(14|18)
0.04651163,2.0,(28|26)
0.04629629,5.0,(8|13)
0.04477612,12.0,(3|15)
0.04477612,3.0,(18|16)
0.04444445,12.0,(6|19)
0.04444445,16.0,(8|23)
0.04417671,11.0,(5|18)
0.04347826,4.0,(8|17)
0.03896104,3.0,(26|24)
0.03862661,9.0,(5|24)
0.03750000,3.0,(7|46)
0.03680982,6.0,(4|16)
0.03664922,7.0,(4|13)
0.03614458,6.0,(5|19)
0.03539823,4.0,(8|48)
0.03508772,2.0,(13|0)
0.03508772,2.0,(43|41)
0.03448276,1.0,(33|1)
0.03433476,8.0,(6|24)
0.03333334,1.0,(0|17)
0.03333334,1.0,(16|30)
0.03333334,3.0,(24|24)
0.03260870,12.0,(2|12)
0.03174603,2.0,(23|24)
0.03125000,1.0,(22|45)
0.03070175,7.0,(1|26)
0.03030303,2.0,(6|26)
0.02995392,13.0,(22|27)
0.02941176,6.0,(15|16)
0.02898551,12.0,(9|18)
0.02857143,4.0,(5|26)
0.02816901,2.0,(20|33)
0.02793296,5.0,(2|39)
0.02758621,4.0,(26|26)
0.02752294,6.0,(0|38)
0.02752294,6.0,(0|39)
0.02739726,4.0,(29|48)
0.02692308,7.0,(15|13)
0.02645503,5.0,(6|17)
0.02631579,2.0,(22|4)
0.02631579,2.0,(46|30)
0.02604167,5.0,(3|37)
0.02580645,4.0,(8|12)
0.02551020,5.0,(16|26)
0.02487562,5.0,(5|14)
0.02484472,4.0,(19|23)
0.02469136,2.0,(25|23)
0.02439024,3.0,(7|14)
0.02419355,3.0,(13|32)
0.02362205,3.0,(5|15)
0.02352941,6.0,(6|13)
0.02352941,2.0,(8|18)
0.02298851,2.0,(18|26)
0.02272727,1.0,(2|15)
0.02272727,1.0,(3|14)
0.02229299,7.0,(29|25)
0.02222222,6.0,(13|18)
0.02209945,4.0,(6|20)
0.02209945,4.0,(10|27)
0.02185792,4.0,(7|25)
0.02173913,2.0,(9|19)
0.02150538,4.0,(10|9)
0.02127660,1.0,(24|4)
0.02097902,6.0,(24|25)
0.02083333,2.0,(16|16)
0.02040816,2.0,(1|4)
0.02040816,1.0,(16|14)
0.02020202,2.0,(25|9)
0.02005013,8.0,(21|22)
0.01981982,11.0,(46|5)
0.01981982,11.0,(47|4)
0.01981982,11.0,(47|5)
0.01960784,4.0,(10|17)
0.01941748,4.0,(1|10)
0.01941748,4.0,(2|10)
0.01941748,6.0,(26|22)
0.01923077,1.0,(28|0)
0.01923077,3.0,(41|1)
0.01877934,4.0,(19|24)
0.01863354,3.0,(1|33)
0.01818182,8.0,(29|24)
0.01769911,4.0,(7|17)
0.01762114,4.0,(43|37)
0.01754386,1.0,(13|13)
0.01718213,5.0,(5|27)
0.01712329,5.0,(6|23)
0.01704546,3.0,(2|14)
0.01694915,1.0,(5|25)
0.01694915,1.0,(13|17)
0.01680672,2.0,(8|16)
0.01678657,7.0,(21|16)
0.01666667,2.0,(11|10)
0.01652892,2.0,(0|3)
0.01652892,2.0,(4|26)
0.01639344,2.0,(9|16)
0.01630435,3.0,(42|40)
0.01612903,1.0,(2|35)
0.01612903,1.0,(6|7)
0.01550388,2.0,(6|8)
0.01544402,4.0,(14|49)
0.01515152,1.0,(21|21)
0.01507538,3.0,(7|10)
0.01492537,2.0,(5|20)
0.01492537,1.0,(10|18)
0.01488834,6.0,(25|26)
0.01467505,7.0,(48|44)
0.01459854,2.0,(27|20)
0.01315789,2.0,(8|22)
0.01315789,3.0,(9|26)
0.01276596,3.0,(3|11)
0.01276596,3.0,(22|26)
0.01273885,2.0,(5|23)
0.01265823,1.0,(12|9)
0.01250000,2.0,(24|23)
0.01244813,3.0,(15|22)
0.01234568,1.0,(3|36)
0.01209677,3.0,(15|23)
0.01206897,7.0,(18|22)
0.01204819,3.0,(17|31)
0.01196172,5.0,(43|42)
0.01183432,2.0,(9|41)
0.01162791,1.0,(7|22)
0.01149425,2.0,(29|49)
0.01132075,3.0,(21|20)
0.01111111,2.0,(4|20)
0.01104972,2.0,(49|27)
0.01098901,1.0,(15|39)
0.01098901,2.0,(27|27)
0.01086957,2.0,(5|6)
0.01086957,1.0,(27|8)
0.01081081,2.0,(6|1)
0.01075269,1.0,(2|34)
0.01075269,1.0,(48|34)
0.01069519,2.0,(7|15)
