Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 396 | RP Transactions-Sales (jp:396,idx:231)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7383798,556.0,(4|24)
0.6278481,496.0,(3|25)
0.6137339,143.0,(5|24)
0.4761905,30.0,(4|23)
0.4267516,67.0,(5|23)
0.4237288,25.0,(5|25)
0.4090909,27.0,(2|25)
0.3796296,41.0,(4|25)
0.3551913,65.0,(7|25)
0.3476395,81.0,(6|24)
0.2985075,20.0,(3|24)
0.2364532,48.0,(3|26)
0.2191781,64.0,(6|23)
0.2129630,23.0,(6|25)
0.1734417,64.0,(2|24)
0.1666667,1.0,(26|32)
0.1463415,6.0,(7|24)
0.1404959,17.0,(4|26)
0.1400000,21.0,(3|19)
0.1346154,7.0,(7|23)
0.1292135,23.0,(5|22)
0.1152074,25.0,(6|22)
0.1133005,23.0,(2|20)
0.1028571,18.0,(3|18)
0.1000000,14.0,(5|26)
0.09649123,22.0,(1|26)
0.09523810,2.0,(0|15)
0.09523810,2.0,(0|16)
0.09523810,6.0,(3|13)
0.09302326,8.0,(4|11)
0.09302326,8.0,(4|12)
0.09302326,4.0,(28|26)
0.08875740,15.0,(4|19)
0.08805031,14.0,(3|23)
0.08181818,9.0,(5|17)
0.08000000,4.0,(5|47)
0.07766990,8.0,(6|15)
0.07608695,7.0,(8|17)
0.07421875,19.0,(4|18)
0.07011070,19.0,(2|19)
0.06951872,13.0,(7|15)
0.06800000,17.0,(3|16)
0.06748466,11.0,(4|16)
0.06666667,1.0,(14|41)
0.06504065,8.0,(7|14)
0.06250000,1.0,(3|8)
0.06250000,1.0,(5|8)
0.06250000,7.0,(8|24)
0.06250000,1.0,(15|27)
0.06185567,12.0,(4|17)
0.06060606,8.0,(2|18)
0.05970149,12.0,(5|14)
0.05957447,14.0,(22|26)
0.05925926,16.0,(13|18)
0.05729167,11.0,(4|14)
0.05729167,11.0,(4|15)
0.05555556,5.0,(7|26)
0.05555556,5.0,(24|24)
0.05511811,7.0,(5|15)
0.05263158,1.0,(3|29)
0.05263158,6.0,(22|24)
0.05194805,4.0,(21|25)
0.05140187,11.0,(14|18)
0.04761905,9.0,(6|17)
0.04687500,3.0,(8|25)
0.04651163,2.0,(34|4)
0.04615385,12.0,(15|13)
0.04545455,2.0,(2|15)
0.04545455,2.0,(3|14)
0.04545455,3.0,(6|26)
0.04477612,12.0,(3|15)
0.04444445,2.0,(11|19)
0.04444445,2.0,(24|27)
0.04347826,1.0,(9|24)
0.04347826,1.0,(15|18)
0.04016064,10.0,(5|18)
0.04000000,1.0,(3|27)
0.04000000,2.0,(25|24)
0.03896104,3.0,(14|12)
0.03786192,17.0,(42|41)
0.03773585,2.0,(0|18)
0.03723404,7.0,(28|23)
0.03703704,4.0,(8|13)
0.03664922,7.0,(4|13)
0.03636364,8.0,(6|18)
0.03603604,4.0,(9|14)
0.03571429,5.0,(5|16)
0.03478261,4.0,(10|32)
0.03448276,1.0,(33|1)
0.03428571,6.0,(3|17)
