Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 402 | Tax Law-Corporate (jp:402,idx:237)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4561644,333.0,(33|36)
0.1081081,4.0,(43|45)
0.04687500,6.0,(43|0)
0.04444445,2.0,(45|11)
0.03550296,6.0,(41|9)
0.03333334,1.0,(47|45)
0.03188406,11.0,(48|18)
0.03157895,3.0,(43|44)
0.03125000,3.0,(41|2)
0.03076923,6.0,(34|18)
0.02564103,1.0,(40|39)
0.02475248,5.0,(42|36)
0.02352941,2.0,(49|14)
0.02200489,9.0,(48|15)
0.01980198,2.0,(11|31)
0.01960784,2.0,(40|42)
0.01960784,2.0,(45|9)
0.01724138,2.0,(41|41)
0.01709402,2.0,(0|14)
0.01694915,1.0,(34|36)
0.01689189,5.0,(49|18)
0.01648352,3.0,(0|9)
0.01550388,2.0,(43|9)
0.01503759,2.0,(10|11)
0.01492537,3.0,(35|0)
0.01492537,3.0,(47|1)
0.01456311,3.0,(47|18)
0.01442308,3.0,(47|34)
0.01369863,2.0,(39|10)
0.01369863,2.0,(40|9)
0.01369863,1.0,(45|45)
0.01351351,1.0,(12|31)
0.01351351,1.0,(32|49)
0.01342282,4.0,(49|15)
0.01333333,2.0,(38|10)
0.01315789,1.0,(16|24)
0.01310044,3.0,(40|8)
0.01307190,2.0,(36|4)
0.01298701,8.0,(49|11)
0.01290323,4.0,(38|14)
0.01290323,2.0,(40|43)
0.01290323,2.0,(46|20)
0.01282051,1.0,(47|44)
0.01250000,3.0,(38|12)
0.01223776,7.0,(4|10)
0.01212121,2.0,(47|19)
0.01204819,3.0,(17|31)
0.01197605,4.0,(34|11)
0.01197605,4.0,(35|11)
0.01190476,3.0,(49|10)
0.01169591,2.0,(30|19)
0.01169591,2.0,(35|30)
0.01162791,2.0,(31|18)
0.01136364,3.0,(47|14)
0.01129944,2.0,(40|49)
0.01123596,2.0,(15|30)
0.01123596,3.0,(45|16)
0.01107011,3.0,(39|32)
0.01104972,2.0,(36|16)
0.01041667,1.0,(32|17)
0.01041667,1.0,(46|7)
0.01038062,3.0,(43|36)
0.01020408,3.0,(41|46)
0.01015228,2.0,(48|32)
0.01000000,1.0,(41|39)
0.009852217,2.0,(40|30)
0.009803922,2.0,(42|18)
0.009708738,1.0,(41|42)
0.009569378,2.0,(46|13)
0.009569378,2.0,(46|17)
0.009478673,2.0,(31|19)
0.009389671,2.0,(15|29)
0.009389671,2.0,(34|19)
0.009345794,1.0,(3|49)
0.009174312,2.0,(37|10)
0.009174312,3.0,(38|8)
0.009090909,2.0,(0|25)
0.009090909,1.0,(31|0)
0.009009009,2.0,(45|8)
0.008982036,3.0,(46|0)
0.008888889,2.0,(41|44)
0.008888889,2.0,(46|25)
0.008658009,2.0,(36|0)
0.008620690,2.0,(41|19)
0.008450705,3.0,(0|30)
0.008403362,2.0,(48|20)
0.008264462,2.0,(44|13)
0.008196721,2.0,(37|12)
0.008064516,1.0,(33|29)
0.007843138,2.0,(29|20)
0.007692308,1.0,(1|42)
0.007662835,2.0,(37|7)
0.007662835,2.0,(37|9)
0.007575758,1.0,(44|35)
0.007575758,1.0,(49|9)
0.007547170,2.0,(40|41)
0.007518797,2.0,(37|19)
0.007518797,2.0,(39|8)
0.007462686,2.0,(3|15)
0.007380074,2.0,(49|12)
0.007299270,1.0,(38|11)
0.007272727,2.0,(48|23)
0.007246377,2.0,(42|8)
0.007246377,1.0,(45|30)
0.007246377,1.0,(49|40)
0.007194245,1.0,(43|39)
0.007075472,3.0,(48|16)
0.006993007,2.0,(40|10)
0.006681514,3.0,(42|41)
0.006644518,2.0,(40|7)
0.006644518,2.0,(47|15)
0.006600660,2.0,(48|24)
0.006172840,1.0,(41|43)
0.006097561,2.0,(40|40)
0.005988024,1.0,(46|48)
0.005988024,1.0,(49|1)
0.005830904,2.0,(35|16)
0.005763689,2.0,(47|17)
0.005405406,1.0,(39|42)
0.005376344,1.0,(35|36)
0.005291005,1.0,(2|33)
0.005076142,1.0,(34|3)
0.005037783,2.0,(43|35)
0.004975124,1.0,(43|46)
0.004694836,1.0,(19|24)
0.004651163,1.0,(45|35)
0.004587156,1.0,(0|38)
0.004587156,1.0,(0|39)
0.004555809,2.0,(43|23)
0.004524887,1.0,(45|7)
0.004424779,1.0,(7|17)
0.004405286,1.0,(4|8)
0.004385965,1.0,(9|26)
0.004282655,2.0,(12|28)
0.004237288,2.0,(36|15)
0.004219409,1.0,(35|12)
0.003802281,1.0,(44|48)
0.003745318,1.0,(41|8)
0.003690037,1.0,(11|32)
0.003656307,2.0,(16|29)
0.003623188,1.0,(41|35)
0.003484321,1.0,(44|32)
0.003412969,1.0,(44|44)
0.003378378,1.0,(34|0)
0.003134796,1.0,(47|16)
0.002915452,1.0,(49|19)
0.002824859,1.0,(43|30)
0.002824859,1.0,(44|30)
0.002816901,1.0,(34|30)
0.002801121,1.0,(31|27)
0.002781641,2.0,(43|1)
0.002724796,1.0,(37|23)
0.002710027,1.0,(40|44)
0.002635046,2.0,(36|36)
0.002341920,1.0,(20|8)
0.002141328,1.0,(8|35)
0.002096436,1.0,(48|44)
0.002000000,1.0,(32|27)
0.001225490,1.0,(28|24)
0.001119821,1.0,(23|33)
0.001083424,1.0,(31|47)
0.0009372071,1.0,(28|36)
