Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 409 | Emp-Comp-Discrimination-Retaliation (jp:409,idx:242)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9213483,246.0,(12|42)
0.8048781,495.0,(11|44)
0.6187845,112.0,(11|45)
0.5638298,106.0,(10|45)
0.5471698,29.0,(11|43)
0.4933837,261.0,(12|43)
0.4751773,67.0,(12|45)
0.4594595,17.0,(11|42)
0.4545455,15.0,(10|44)
0.4125000,33.0,(9|45)
0.3717949,29.0,(11|46)
0.3440000,43.0,(12|44)
0.2982456,17.0,(13|43)
0.2910448,39.0,(10|43)
0.2631579,5.0,(12|41)
0.2608696,30.0,(10|46)
0.2540540,47.0,(6|1)
0.2377049,29.0,(13|42)
0.2020202,20.0,(9|46)
0.1923077,5.0,(10|3)
0.1818182,2.0,(20|4)
0.1722689,41.0,(6|45)
0.1647059,14.0,(10|47)
0.1407407,19.0,(7|47)
0.1333333,8.0,(9|47)
0.1264368,11.0,(9|44)
0.1111111,1.0,(5|44)
0.1111111,1.0,(14|48)
0.1052632,2.0,(29|1)
0.1029412,7.0,(18|7)
0.1020408,10.0,(1|4)
0.09523810,2.0,(14|38)
0.09482758,11.0,(8|47)
0.08823530,3.0,(11|3)
0.08653846,9.0,(12|46)
0.08163265,4.0,(10|48)
0.08045977,7.0,(8|46)
0.07407407,8.0,(11|47)
0.07368421,7.0,(9|48)
0.07305936,16.0,(2|4)
0.07142857,2.0,(49|30)
0.07058824,6.0,(8|45)
0.06896552,12.0,(3|3)
0.06896552,6.0,(10|1)
0.06451613,4.0,(15|10)
0.06299213,8.0,(48|4)
0.06250000,5.0,(7|46)
0.06122449,6.0,(49|28)
0.06060606,10.0,(13|44)
0.05970149,4.0,(5|0)
0.05769231,3.0,(6|44)
0.05454545,6.0,(7|48)
0.05357143,3.0,(25|49)
0.05128205,2.0,(7|0)
0.04444445,2.0,(13|12)
0.04285714,3.0,(16|6)
0.04237288,5.0,(7|45)
0.04201681,5.0,(3|4)
0.04201681,5.0,(5|1)
0.04123711,4.0,(6|49)
0.04081633,2.0,(16|14)
0.03896104,3.0,(6|48)
0.03846154,2.0,(13|1)
0.03703704,2.0,(9|43)
0.03571429,2.0,(2|38)
0.03571429,3.0,(6|46)
0.03571429,3.0,(15|47)
0.03508772,2.0,(13|0)
0.03482587,7.0,(0|5)
0.03370786,3.0,(16|46)
0.03191489,3.0,(49|26)
0.03125000,4.0,(1|6)
0.03125000,2.0,(9|1)
0.03053435,4.0,(11|48)
0.03030303,3.0,(4|2)
0.03030303,1.0,(17|5)
0.02985075,2.0,(12|49)
0.02977668,12.0,(9|3)
0.02962963,4.0,(14|45)
0.02932551,10.0,(14|42)
0.02857143,4.0,(10|49)
0.02857143,2.0,(11|49)
0.02830189,3.0,(8|3)
0.02752294,3.0,(13|48)
0.02739726,2.0,(2|5)
0.02739726,2.0,(12|0)
0.02727273,3.0,(2|37)
0.02666667,4.0,(19|8)
0.02564103,2.0,(47|44)
0.02500000,2.0,(16|47)
0.02352941,4.0,(8|2)
0.02298851,2.0,(29|23)
0.02202643,5.0,(14|1)
0.02127660,1.0,(4|49)
0.02127660,1.0,(6|5)
0.02127660,2.0,(16|4)
0.02083333,1.0,(15|0)
0.02068966,9.0,(25|37)
0.02020202,2.0,(5|39)
0.01941748,2.0,(4|4)
0.01923077,1.0,(6|0)
0.01923077,3.0,(8|44)
0.01910828,6.0,(6|2)
0.01869159,2.0,(3|49)
0.01863354,3.0,(47|41)
0.01863354,3.0,(48|41)
0.01818182,2.0,(13|49)
0.01776650,7.0,(11|2)
0.01769911,2.0,(8|48)
0.01754386,1.0,(13|13)
0.01652892,2.0,(0|46)
0.01587302,2.0,(10|4)
0.01544402,4.0,(14|49)
0.01538462,2.0,(1|18)
