Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 411 | Emp-Comp-Privacy (jp:411,idx:244)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6305733,99.0,(24|38)
0.05000000,2.0,(25|38)
0.04761905,4.0,(6|46)
0.03846154,2.0,(13|1)
0.03773585,2.0,(11|43)
0.03389831,4.0,(17|7)
0.02727273,3.0,(13|49)
0.02666667,2.0,(14|43)
0.01923077,3.0,(8|44)
0.01886792,2.0,(8|3)
0.01739130,2.0,(10|46)
0.01639344,2.0,(13|42)
0.01574803,2.0,(48|4)
0.01492537,1.0,(5|0)
0.01492537,1.0,(12|49)
0.01428571,2.0,(10|49)
0.01273885,4.0,(6|2)
0.01265823,1.0,(10|42)
0.01212121,2.0,(13|44)
0.01176471,1.0,(10|47)
0.01104972,2.0,(49|27)
0.01090909,3.0,(13|41)
0.01052632,1.0,(9|48)
0.01030928,1.0,(6|49)
0.01030928,3.0,(14|34)
0.01015228,4.0,(7|43)
0.009389671,2.0,(25|47)
0.009259259,1.0,(4|25)
0.009259259,1.0,(5|46)
0.009049774,2.0,(0|4)
0.008771930,1.0,(22|15)
0.008620690,1.0,(8|47)
0.008403362,2.0,(6|45)
0.007092198,1.0,(12|45)
0.006896552,1.0,(14|33)
0.006493506,1.0,(10|0)
0.005917160,1.0,(4|19)
0.005405406,1.0,(6|1)
0.005305040,2.0,(24|11)
0.004962779,2.0,(9|3)
0.004444445,1.0,(15|36)
0.004048583,2.0,(15|33)
0.003571429,2.0,(0|26)
0.003424658,1.0,(33|42)
0.003267974,1.0,(4|9)
0.002898551,1.0,(48|47)
0.002551020,1.0,(23|10)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002298851,1.0,(25|37)
0.002283105,1.0,(13|31)
0.002207506,1.0,(0|35)
0.002192982,1.0,(32|43)
0.002105263,1.0,(11|37)
0.001890359,1.0,(12|43)
