Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 412 | Employment Agreements (jp:412,idx:245)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8197970,323.0,(7|43)
0.6804734,115.0,(8|43)
0.6086956,14.0,(7|42)
0.5468750,35.0,(7|44)
0.5123287,187.0,(9|42)
0.5000000,1.0,(5|49)
0.4871795,76.0,(8|44)
0.4252874,37.0,(9|44)
0.3888889,21.0,(9|43)
0.3727811,63.0,(9|41)
0.3294118,28.0,(8|45)
0.2857143,12.0,(8|42)
0.1772152,14.0,(10|42)
0.1716418,23.0,(10|43)
0.1625000,13.0,(7|46)
0.1500000,12.0,(9|45)
0.1271186,15.0,(7|45)
0.07462686,5.0,(5|0)
0.05263158,5.0,(9|48)
0.05263158,1.0,(29|1)
0.05154639,5.0,(6|49)
0.05022831,11.0,(2|4)
0.04807692,5.0,(12|46)
0.04705882,4.0,(10|47)
0.04597701,4.0,(8|46)
0.04545455,1.0,(0|32)
0.04545455,1.0,(19|6)
0.04285714,3.0,(11|49)
0.04081633,4.0,(49|28)
0.03812317,13.0,(14|42)
0.03571429,1.0,(49|30)
0.03401361,5.0,(48|28)
0.03243243,6.0,(6|1)
0.03198294,15.0,(22|13)
0.03125000,2.0,(12|34)
0.03125000,2.0,(12|48)
0.02727273,3.0,(13|49)
0.02654867,3.0,(8|48)
0.02586207,3.0,(8|47)
0.02439024,1.0,(2|48)
0.02298851,2.0,(10|1)
0.02222222,3.0,(14|45)
0.02127660,1.0,(4|49)
0.02097902,3.0,(1|7)
0.02097902,3.0,(49|7)
0.02020202,2.0,(9|46)
0.01923077,1.0,(6|0)
0.01923077,1.0,(23|46)
0.01818182,2.0,(2|37)
0.01785714,1.0,(4|41)
0.01724138,4.0,(8|49)
0.01666667,1.0,(9|47)
0.01562500,2.0,(1|6)
0.01492537,1.0,(5|2)
0.01449275,1.0,(47|40)
0.01428571,1.0,(16|6)
0.01408451,1.0,(30|2)
0.01333333,2.0,(19|8)
0.01307190,2.0,(31|1)
0.01190476,1.0,(21|11)
0.01162791,1.0,(8|0)
0.01123596,1.0,(26|49)
0.01063830,1.0,(49|26)
0.01010101,1.0,(4|2)
0.009852217,2.0,(48|7)
0.009803922,1.0,(11|1)
0.009367681,4.0,(20|8)
0.009259259,1.0,(11|47)
0.009132420,2.0,(48|38)
0.009132420,2.0,(48|39)
0.008695652,1.0,(10|46)
0.008403362,1.0,(3|4)
0.008403362,1.0,(5|1)
0.008219178,3.0,(17|12)
0.007751938,1.0,(6|8)
0.007722008,2.0,(14|49)
0.007142857,1.0,(6|16)
0.006993007,2.0,(48|5)
0.006872852,2.0,(23|4)
0.006666667,1.0,(19|44)
0.006472492,2.0,(26|22)
0.006410256,1.0,(8|1)
0.006276151,3.0,(15|46)
0.006250000,2.0,(13|46)
0.006060606,1.0,(13|44)
0.005952381,1.0,(0|27)
0.005681818,1.0,(2|14)
0.005291005,1.0,(22|47)
0.005235602,1.0,(4|13)
0.005208333,1.0,(3|37)
0.005050505,1.0,(19|11)
0.005050505,1.0,(20|11)
0.004975124,1.0,(0|5)
0.004926108,1.0,(6|4)
0.004694836,1.0,(25|47)
0.004273504,1.0,(21|13)
0.004255319,1.0,(3|11)
0.004016064,1.0,(17|31)
0.003846154,1.0,(15|13)
0.003787879,1.0,(49|46)
0.003773585,1.0,(21|20)
0.003436426,1.0,(14|34)
0.003424658,1.0,(33|42)
0.003289474,1.0,(21|47)
0.003184713,1.0,(6|2)
0.003144654,1.0,(25|25)
0.003125000,1.0,(49|48)
0.002923977,1.0,(13|7)
0.002732240,1.0,(15|4)
0.002666667,1.0,(14|44)
0.002652520,1.0,(22|3)
0.002631579,1.0,(1|13)
0.002610966,1.0,(16|25)
0.002583979,1.0,(22|42)
0.002506266,1.0,(21|22)
0.002487562,1.0,(15|37)
0.002463054,1.0,(19|12)
0.002463054,1.0,(20|12)
0.002298851,1.0,(25|37)
0.002222222,1.0,(20|0)
0.002178649,1.0,(26|43)
0.002096436,1.0,(48|44)
0.001949318,1.0,(41|48)
0.001862197,1.0,(46|38)
0.001785714,1.0,(0|26)
0.001683502,1.0,(14|0)
0.001661130,1.0,(11|0)
0.001158749,1.0,(6|3)
