Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 413 | Emp-Lit-Discrimination-Retaliation (jp:413,idx:246)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(13|47)
0.8304093,284.0,(12|47)
0.5781250,185.0,(13|46)
0.3942308,41.0,(12|46)
0.3333333,36.0,(11|47)
0.3333333,1.0,(14|46)
0.2187500,14.0,(12|48)
0.2061069,27.0,(11|48)
0.1559633,17.0,(13|48)
0.1153846,9.0,(11|46)
0.08163265,4.0,(10|48)
0.05970149,4.0,(5|0)
0.05882353,5.0,(10|47)
0.05769231,3.0,(13|45)
0.05747126,5.0,(8|46)
0.05022831,11.0,(2|4)
0.04878049,2.0,(2|48)
0.03896104,3.0,(6|48)
0.03703704,5.0,(14|45)
0.03571429,4.0,(4|47)
0.03571429,4.0,(4|48)
0.03149606,4.0,(48|4)
0.03125000,2.0,(49|4)
0.02727273,3.0,(7|48)
0.02564103,1.0,(7|0)
0.02343750,3.0,(1|6)
0.02020202,2.0,(4|2)
0.01923077,1.0,(6|0)
0.01851852,1.0,(9|43)
0.01769911,2.0,(8|48)
0.01724138,2.0,(8|47)
0.01694915,2.0,(7|45)
0.01492537,1.0,(5|2)
0.01470588,1.0,(17|14)
0.01428571,1.0,(11|49)
0.01351351,1.0,(49|25)
0.01250000,1.0,(9|45)
0.01190476,1.0,(6|46)
0.01162791,1.0,(4|11)
0.01162791,1.0,(4|12)
0.01063830,2.0,(10|45)
0.01052632,1.0,(9|48)
0.01030928,1.0,(6|49)
0.01020408,1.0,(1|4)
0.009950249,2.0,(0|5)
0.008695652,1.0,(10|46)
0.008474576,1.0,(24|1)
0.008403362,1.0,(21|48)
0.006802721,1.0,(48|28)
0.006535948,1.0,(2|3)
0.006535948,1.0,(3|1)
0.006472492,2.0,(26|22)
0.006396588,3.0,(22|13)
0.006369427,2.0,(6|2)
0.005917160,1.0,(8|43)
0.005405406,1.0,(6|1)
0.004464286,1.0,(22|12)
0.004405286,1.0,(15|34)
0.004081632,1.0,(17|41)
0.002702703,1.0,(21|3)
0.002652520,1.0,(22|3)
0.002597403,1.0,(3|42)
0.002304147,1.0,(22|27)
0.002298851,1.0,(25|37)
0.002222222,1.0,(20|0)
0.002169197,1.0,(17|3)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
