Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 434 | Tax Law-Trusts-and-Estates (jp:434,idx:267)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5167464,108.0,(37|34)
0.05555556,1.0,(48|37)
0.02083333,1.0,(47|38)
0.01960784,3.0,(48|36)
0.01826484,4.0,(48|38)
0.01826484,4.0,(48|39)
0.01754386,1.0,(43|41)
0.01652892,2.0,(0|46)
0.01449275,2.0,(49|40)
0.01315789,2.0,(49|32)
0.01204819,1.0,(47|30)
0.01117318,6.0,(46|38)
0.01030928,1.0,(33|17)
0.007751938,1.0,(49|33)
0.006578947,1.0,(40|4)
0.005434783,1.0,(42|40)
0.004784689,2.0,(43|42)
0.004683841,2.0,(20|8)
0.004444445,1.0,(41|44)
0.004264392,2.0,(22|13)
0.004192872,2.0,(48|44)
0.003891051,2.0,(0|42)
0.002415459,1.0,(9|18)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
