Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 440 | Trademarks-Internet (jp:440,idx:273)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7004219,332.0,(32|41)
0.5437158,199.0,(32|42)
0.4736842,36.0,(33|41)
0.3947369,45.0,(31|41)
0.3750000,81.0,(26|7)
0.3313070,109.0,(26|8)
0.1680000,21.0,(27|7)
0.1676647,28.0,(24|7)
0.1521739,14.0,(27|8)
0.1428571,1.0,(21|8)
0.1428571,6.0,(32|40)
0.1212121,8.0,(31|42)
0.1155015,38.0,(23|12)
0.1102362,14.0,(26|6)
0.1063830,5.0,(24|4)
0.1032864,22.0,(25|7)
0.08520179,19.0,(22|10)
0.08520179,19.0,(24|9)
0.08333334,1.0,(27|3)
0.07647059,13.0,(26|9)
0.07571802,29.0,(24|6)
0.07547170,16.0,(24|10)
0.07317073,3.0,(7|24)
0.07185629,12.0,(23|9)
0.06666667,4.0,(27|11)
0.06550218,15.0,(25|8)
0.06372549,13.0,(22|11)
0.06250000,1.0,(16|18)
0.05687204,12.0,(23|8)
0.05357143,3.0,(49|29)
0.04687500,6.0,(1|6)
0.04687500,6.0,(23|7)
0.04545455,5.0,(2|37)
0.04347826,1.0,(0|8)
0.04347826,2.0,(25|11)
0.04347826,1.0,(48|8)
0.04310345,5.0,(29|10)
0.04040404,4.0,(25|9)
0.04022989,7.0,(26|5)
0.03947368,3.0,(22|4)
0.03773585,2.0,(11|14)
0.03703704,3.0,(12|35)
0.03652968,8.0,(27|10)
0.03571429,4.0,(4|47)
0.03571429,4.0,(4|48)
0.03448276,3.0,(32|11)
0.03389831,2.0,(27|5)
0.03316326,13.0,(23|10)
0.03278688,2.0,(25|6)
0.03178484,13.0,(26|12)
0.03125000,7.0,(22|12)
0.03092784,9.0,(23|4)
0.03086420,5.0,(25|13)
0.02912621,3.0,(32|2)
0.02898551,2.0,(29|9)
0.02857143,1.0,(11|38)
0.02857143,2.0,(12|14)
0.02816901,2.0,(3|44)
0.02808989,10.0,(25|10)
0.02727273,6.0,(26|10)
0.02702703,1.0,(11|42)
0.02678571,6.0,(16|15)
0.02649007,4.0,(49|8)
0.02469136,2.0,(22|5)
0.02450980,5.0,(28|8)
0.02439024,2.0,(26|11)
0.02380952,2.0,(6|46)
0.02343750,3.0,(28|9)
0.02325581,2.0,(15|14)
0.02272727,4.0,(25|5)
0.02185792,8.0,(23|6)
0.02173913,2.0,(8|32)
0.02162162,4.0,(24|8)
0.02127660,2.0,(26|13)
0.02122016,8.0,(24|11)
0.02090592,6.0,(25|16)
0.02083333,4.0,(28|10)
0.02083333,2.0,(42|48)
0.02074074,14.0,(29|39)
0.01976285,10.0,(25|12)
0.01973684,6.0,(28|43)
0.01785714,2.0,(22|1)
0.01754386,2.0,(22|15)
0.01724138,2.0,(24|14)
0.01694915,2.0,(17|7)
0.01694915,2.0,(24|1)
0.01694915,3.0,(25|14)
0.01662050,6.0,(1|11)
0.01612903,1.0,(6|7)
0.01570681,3.0,(4|13)
0.01562500,3.0,(3|37)
0.01552795,5.0,(25|0)
0.01530612,3.0,(29|15)
0.01526718,4.0,(27|12)
0.01515152,2.0,(22|23)
0.01515152,2.0,(23|23)
0.01515152,1.0,(30|9)
0.01503759,2.0,(27|9)
0.01481481,2.0,(2|43)
0.01481481,2.0,(2|44)
0.01477833,6.0,(19|12)
0.01477833,6.0,(20|12)
0.01408451,3.0,(25|47)
0.01369863,4.0,(33|42)
0.01358696,5.0,(2|12)
0.01351351,1.0,(23|21)
0.01333333,4.0,(30|6)
0.01321586,3.0,(15|34)
0.01298701,1.0,(14|12)
0.01298701,2.0,(33|8)
0.01273885,2.0,(5|23)
0.01250000,1.0,(11|13)
0.01219512,1.0,(28|39)
0.01179941,4.0,(27|15)
0.01170960,5.0,(28|2)
0.01162791,1.0,(21|10)
0.01117318,2.0,(31|9)
0.01098901,1.0,(29|3)
0.01073345,6.0,(14|35)
0.01052632,2.0,(29|14)
0.009803922,1.0,(10|35)
0.009803922,1.0,(27|42)
0.009756098,4.0,(0|10)
0.009615385,1.0,(23|14)
0.009615385,1.0,(24|49)
0.009433962,1.0,(20|9)
0.008888889,2.0,(15|36)
0.008810572,2.0,(4|8)
0.008771930,2.0,(1|26)
0.008746356,3.0,(14|36)
0.008620690,1.0,(27|14)
0.008583691,2.0,(27|13)
0.008450705,3.0,(0|30)
0.008264462,3.0,(25|46)
0.008179959,4.0,(22|8)
0.008130081,1.0,(7|3)
0.007936508,2.0,(29|40)
0.007894737,3.0,(1|13)
0.007874016,2.0,(32|6)
0.007751938,1.0,(6|8)
0.007722008,2.0,(5|4)
0.007575758,1.0,(1|2)
0.007500000,3.0,(23|47)
0.007220217,2.0,(28|14)
0.007142857,1.0,(22|48)
0.007042253,1.0,(32|8)
0.006896552,1.0,(28|42)
0.006872852,2.0,(14|34)
0.006666667,1.0,(3|19)
0.006622517,1.0,(23|48)
0.006622517,2.0,(27|16)
0.006329114,1.0,(33|10)
0.006230529,2.0,(23|13)
0.006160164,3.0,(28|6)
0.006024096,1.0,(26|47)
0.005882353,1.0,(18|17)
0.005813953,1.0,(28|16)
0.005714286,1.0,(3|18)
0.005681818,1.0,(2|14)
0.005681818,1.0,(28|3)
0.005681818,1.0,(31|12)
0.005464481,1.0,(29|12)
0.005319149,1.0,(15|31)
0.005319149,1.0,(32|10)
0.005025126,1.0,(31|6)
0.005000000,1.0,(2|36)
0.004975124,2.0,(15|37)
0.004926108,2.0,(14|47)
0.004901961,1.0,(16|31)
0.004854369,1.0,(26|17)
0.004716981,3.0,(23|16)
0.004587156,1.0,(33|14)
0.004444445,1.0,(21|5)
0.004444445,1.0,(22|6)
0.004264392,2.0,(22|13)
0.004032258,1.0,(25|15)
0.003780718,2.0,(12|43)
0.003745318,1.0,(27|4)
0.003745318,1.0,(40|37)
0.003731343,1.0,(3|15)
0.003703704,2.0,(17|32)
0.003696858,2.0,(4|21)
0.003603604,2.0,(46|5)
0.003603604,2.0,(47|4)
0.003603604,2.0,(47|5)
0.003521127,1.0,(32|7)
0.003267974,1.0,(4|9)
0.003252032,2.0,(11|44)
0.003164557,1.0,(20|47)
0.003076923,1.0,(20|31)
0.002418380,2.0,(24|35)
0.002358491,1.0,(16|38)
0.002325581,1.0,(19|5)
0.002298851,1.0,(17|38)
0.002150538,2.0,(14|5)
0.002105263,1.0,(11|37)
0.002024292,1.0,(15|33)
0.002020202,1.0,(5|45)
0.001964637,1.0,(10|21)
0.001805054,1.0,(29|34)
0.001692047,1.0,(33|9)
0.001647446,1.0,(27|17)
0.001582279,1.0,(28|5)
0.001379310,1.0,(27|0)
0.001186240,1.0,(28|38)
0.001083424,1.0,(31|47)
0.0009242144,1.0,(15|40)
0.0008097166,1.0,(25|45)
0.0007127584,1.0,(20|39)
0.0006082725,1.0,(35|40)
