Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 442 | Trademarks-Enforcement (jp:442,idx:275)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4316940,158.0,(23|6)
0.2727273,3.0,(23|5)
0.2532637,97.0,(24|6)
0.09375000,12.0,(23|7)
0.07843138,16.0,(22|11)
0.03773585,2.0,(11|14)
0.03592815,6.0,(24|7)
0.02500000,2.0,(11|13)
0.02040816,8.0,(23|10)
0.01886792,4.0,(24|10)
0.01851852,1.0,(5|5)
0.01851852,1.0,(6|6)
0.01785714,2.0,(4|47)
0.01785714,2.0,(4|48)
0.01724138,2.0,(24|14)
0.01466993,6.0,(26|12)
0.01388889,1.0,(16|45)
0.01339286,3.0,(22|12)
0.01324503,2.0,(49|8)
0.01063830,1.0,(26|13)
0.01061008,4.0,(24|11)
0.01010101,1.0,(25|9)
0.009708738,2.0,(1|10)
0.009708738,2.0,(2|10)
0.009615385,1.0,(23|14)
0.008968610,2.0,(22|10)
0.008968610,2.0,(24|9)
0.008928572,2.0,(16|15)
0.008620690,1.0,(27|14)
0.008474576,1.0,(24|1)
0.008196721,1.0,(22|7)
0.006172840,1.0,(25|13)
0.006079027,2.0,(26|8)
0.006024096,1.0,(5|19)
0.005988024,1.0,(23|9)
0.005747126,1.0,(29|49)
0.005714286,1.0,(3|18)
0.005617978,1.0,(31|10)
0.004878049,2.0,(0|10)
0.004566210,1.0,(27|10)
0.004545454,1.0,(26|10)
0.004273504,1.0,(30|14)
0.003311258,1.0,(27|16)
0.002890173,1.0,(8|33)
0.002717391,1.0,(2|12)
0.002512563,1.0,(10|29)
0.002444988,1.0,(11|35)
0.002074689,1.0,(21|33)
0.001988071,1.0,(21|34)
0.001748252,1.0,(4|10)
