Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 462 | Corporate Audit/Investigations (jp:462,idx:290)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1250000,2.0,(22|2)
0.1232666,80.0,(20|36)
0.09473684,9.0,(28|49)
0.04761905,2.0,(0|6)
0.04166667,4.0,(28|46)
0.03333334,1.0,(8|34)
0.02976190,5.0,(16|34)
0.02836879,4.0,(1|28)
0.02127660,1.0,(4|49)
0.02083333,2.0,(16|16)
0.01960784,2.0,(30|0)
0.01923077,1.0,(13|45)
0.01785714,2.0,(22|1)
0.01754386,1.0,(32|4)
0.01754386,1.0,(33|3)
0.01612903,1.0,(4|45)
0.01515152,1.0,(16|12)
0.01515152,1.0,(21|9)
0.01369863,1.0,(29|0)
0.01307190,4.0,(13|35)
0.01190476,1.0,(1|24)
0.01162791,4.0,(22|0)
0.01098901,1.0,(15|39)
0.009259259,1.0,(5|46)
0.008438818,2.0,(1|39)
0.008000000,1.0,(12|44)
0.007800312,5.0,(20|35)
0.007782101,2.0,(20|26)
0.007556675,3.0,(0|37)
0.007537689,3.0,(10|29)
0.007518797,1.0,(9|39)
0.006849315,1.0,(16|5)
0.006578947,2.0,(21|47)
0.006097561,1.0,(17|35)
0.005988024,1.0,(24|7)
0.005917160,1.0,(2|2)
0.005747126,1.0,(29|49)
0.005319149,1.0,(15|31)
0.004484305,1.0,(12|2)
0.004444445,1.0,(21|5)
0.004444445,1.0,(22|6)
0.004424779,1.0,(15|35)
0.004405286,1.0,(43|37)
0.004385965,1.0,(4|38)
0.004347826,1.0,(23|20)
0.004264392,2.0,(14|2)
0.004175365,2.0,(5|43)
0.004081632,1.0,(17|41)
0.004016064,1.0,(17|31)
0.003311258,1.0,(18|6)
0.003134796,1.0,(1|35)
0.002754821,1.0,(10|39)
0.002680965,1.0,(14|40)
0.002638523,1.0,(28|22)
0.002577320,1.0,(9|5)
0.002500000,1.0,(23|47)
0.002493766,1.0,(32|3)
0.002325581,1.0,(19|5)
0.002298851,1.0,(17|38)
0.002272727,1.0,(29|24)
0.002132196,1.0,(22|13)
0.002004008,1.0,(14|32)
0.001879699,1.0,(27|41)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001733102,1.0,(12|4)
0.001672241,1.0,(20|44)
0.001075269,1.0,(14|5)
0.0009551098,1.0,(19|34)
0.0008097166,1.0,(25|45)
