Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 464 | Corporate D&O Issues (jp:464,idx:292)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(20|15)
0.1304348,3.0,(15|18)
0.03896104,3.0,(13|39)
0.02433862,23.0,(18|37)
0.01612903,1.0,(4|45)
0.01204819,1.0,(3|5)
0.01020408,2.0,(4|7)
0.009803922,3.0,(13|35)
0.009360374,6.0,(20|35)
0.009345794,1.0,(3|49)
0.009174312,1.0,(13|48)
0.008403362,2.0,(16|36)
0.006451613,1.0,(11|5)
0.005952381,1.0,(16|34)
0.005917160,1.0,(23|30)
0.005747126,1.0,(29|49)
0.005405406,1.0,(6|33)
0.005405406,1.0,(26|45)
0.005361930,2.0,(14|40)
0.004975124,1.0,(25|3)
0.004672897,1.0,(23|25)
0.004587156,1.0,(0|38)
0.004587156,1.0,(0|39)
0.004081632,1.0,(17|41)
0.003610108,2.0,(29|34)
0.002754821,1.0,(21|28)
0.002732240,1.0,(15|4)
0.002652520,1.0,(22|3)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002040816,1.0,(23|27)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001748252,1.0,(4|10)
0.001733102,1.0,(12|4)
0.001724138,1.0,(18|22)
0.001672241,1.0,(20|44)
0.001499250,1.0,(20|27)
0.001075269,1.0,(14|5)
0.0009551098,1.0,(19|34)
