Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 465 | Corporate Legal Dept Policy (jp:465,idx:293)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2711443,109.0,(15|37)
0.03030303,1.0,(14|37)
0.02439024,1.0,(13|34)
0.01694915,2.0,(24|1)
0.01075269,1.0,(22|36)
0.009803922,3.0,(13|35)
0.009259259,1.0,(5|46)
0.009090909,1.0,(2|37)
0.009009009,1.0,(9|32)
0.007782101,2.0,(20|26)
0.007142857,1.0,(6|40)
0.006622517,1.0,(23|48)
0.005405406,1.0,(45|34)
0.005000000,1.0,(2|36)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004424779,1.0,(15|35)
0.004385965,1.0,(4|38)
0.003496503,1.0,(24|25)
0.003436426,1.0,(14|34)
0.002915452,1.0,(14|36)
0.002551020,1.0,(23|10)
0.002053388,1.0,(28|6)
