Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 466 | Corporate Risk Mgt (jp:466,idx:294)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2307692,9.0,(17|34)
0.08888889,4.0,(13|36)
0.04878049,2.0,(13|34)
0.03508772,2.0,(32|4)
0.03508772,2.0,(33|3)
0.03048781,5.0,(17|35)
0.02439024,1.0,(7|24)
0.02409638,2.0,(47|30)
0.02305919,30.0,(29|36)
0.02105263,2.0,(28|49)
0.01344086,5.0,(18|34)
0.01307190,2.0,(16|8)
0.01298701,1.0,(26|24)
0.01190476,2.0,(16|34)
0.009900990,1.0,(18|11)
0.009756098,2.0,(9|9)
0.009615385,1.0,(12|46)
0.009345794,1.0,(3|49)
0.007812500,1.0,(23|7)
0.007407407,1.0,(7|47)
0.007352941,1.0,(2|8)
0.007299270,1.0,(30|45)
0.007142857,1.0,(5|28)
0.006960557,3.0,(20|19)
0.006666667,1.0,(2|49)
0.006666667,1.0,(4|46)
0.006578947,1.0,(14|19)
0.005524862,1.0,(10|27)
0.005464481,1.0,(29|12)
0.005305040,2.0,(24|11)
0.005291005,1.0,(12|38)
0.005076142,1.0,(6|27)
0.005000000,1.0,(30|47)
0.004975124,1.0,(0|5)
0.004889976,2.0,(26|12)
0.004878049,1.0,(15|7)
0.004807692,1.0,(47|34)
0.004739337,1.0,(27|1)
0.004444445,1.0,(15|36)
0.004405286,1.0,(15|34)
0.004273504,1.0,(30|14)
0.004184100,1.0,(34|44)
0.004048583,2.0,(15|33)
0.003802281,1.0,(24|26)
0.003703704,1.0,(13|18)
0.003496503,1.0,(24|25)
0.003333333,1.0,(29|46)
0.003267974,1.0,(13|35)
0.002915452,1.0,(14|36)
0.002906977,1.0,(22|0)
0.002717391,1.0,(2|12)
0.002710027,1.0,(40|44)
0.002304147,1.0,(22|27)
0.002057613,2.0,(27|45)
0.002024292,1.0,(10|34)
0.001785714,1.0,(0|26)
0.001560062,1.0,(20|35)
0.001102536,1.0,(29|47)
