Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 467 | Corporate LLC/Partnerships (jp:467,idx:295)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(33|2)
0.3068592,170.0,(29|34)
0.1458333,7.0,(14|16)
0.05882353,1.0,(18|31)
0.05555556,1.0,(26|25)
0.05263158,1.0,(37|42)
0.05263158,1.0,(49|43)
0.05084746,3.0,(13|33)
0.04166667,2.0,(21|44)
0.03448276,5.0,(14|33)
0.03448276,1.0,(16|33)
0.03333334,1.0,(0|17)
0.02941176,1.0,(9|34)
0.02941176,1.0,(10|33)
0.02941176,9.0,(13|35)
0.02884615,3.0,(14|29)
0.02659575,5.0,(15|31)
0.02631579,1.0,(0|11)
0.02553191,6.0,(3|11)
0.02500000,1.0,(7|6)
0.02380952,2.0,(21|11)
0.02127660,3.0,(1|28)
0.02127660,1.0,(4|49)
0.02000000,1.0,(1|30)
0.02000000,1.0,(5|47)
0.02000000,2.0,(41|39)
0.01923077,1.0,(28|0)
0.01879699,5.0,(14|28)
0.01869159,2.0,(3|49)
0.01834862,4.0,(0|38)
0.01834862,4.0,(0|39)
0.01714286,3.0,(3|18)
0.01714286,3.0,(19|26)
0.01694915,1.0,(13|17)
0.01680672,2.0,(8|11)
0.01621622,3.0,(45|34)
0.01612903,1.0,(4|45)
0.01612903,2.0,(13|32)
0.01587302,1.0,(1|12)
0.01587302,1.0,(2|11)
0.01587302,1.0,(2|13)
0.01587302,1.0,(3|12)
0.01573427,9.0,(4|10)
0.01562500,4.0,(26|37)
0.01562500,2.0,(27|48)
0.01538462,4.0,(22|25)
0.01503759,2.0,(46|33)
0.01428571,2.0,(2|17)
0.01418440,2.0,(11|15)
0.01398601,2.0,(0|43)
0.01369863,2.0,(29|48)
0.01333333,2.0,(16|13)
0.01315789,1.0,(11|34)
0.01298701,1.0,(26|24)
0.01277955,4.0,(48|6)
0.01265823,1.0,(10|42)
0.01252236,7.0,(14|35)
0.01219512,1.0,(12|16)
0.01219512,2.0,(22|9)
0.01204819,3.0,(17|31)
0.01204819,1.0,(47|33)
0.01149425,1.0,(18|26)
0.01149425,2.0,(29|49)
0.01136364,2.0,(9|30)
0.01136364,1.0,(45|33)
0.01111111,2.0,(4|20)
0.01111111,1.0,(11|30)
0.01111111,2.0,(14|30)
0.01098901,1.0,(15|39)
0.01086957,1.0,(8|17)
0.01063830,1.0,(13|21)
0.01041667,2.0,(20|25)
0.01036269,2.0,(43|13)
0.01025641,2.0,(9|8)
0.01020408,2.0,(4|7)
0.009900990,1.0,(11|31)
0.009852217,2.0,(2|20)
0.009803922,1.0,(40|42)
0.009708738,1.0,(32|2)
0.009259259,1.0,(5|46)
0.009174312,1.0,(10|15)
0.009174312,1.0,(21|27)
0.009174312,1.0,(31|3)
0.009049774,2.0,(14|31)
0.009049774,2.0,(27|2)
0.008849557,1.0,(8|48)
0.008771930,1.0,(22|24)
0.008510638,2.0,(22|26)
0.008474576,1.0,(7|45)
0.008474576,1.0,(14|20)
0.008403362,1.0,(8|16)
0.008403362,2.0,(16|36)
0.008130081,1.0,(45|40)
0.008016032,4.0,(14|32)
0.007936508,1.0,(11|18)
0.007843138,2.0,(1|21)
0.007812500,1.0,(36|6)
0.007751938,1.0,(6|8)
0.007692308,1.0,(1|42)
0.007692308,3.0,(23|45)
0.007352941,2.0,(30|25)
0.007299270,1.0,(38|11)
0.007194245,1.0,(0|22)
0.007017544,2.0,(12|11)
0.006896552,1.0,(6|21)
0.006896552,1.0,(26|26)
0.006802721,1.0,(5|21)
0.006666667,1.0,(3|19)
0.006651885,3.0,(9|33)
0.006535948,2.0,(4|9)
0.006451613,1.0,(8|12)
0.006410256,1.0,(44|40)
0.006349206,2.0,(49|42)
0.006269592,2.0,(49|17)
0.006211180,1.0,(19|23)
0.006097561,1.0,(17|35)
0.006072875,3.0,(10|34)
