Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 469 | Health Business Physician Groups (jp:469,idx:297)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(0|40)
0.1941177,33.0,(25|35)
0.1202532,19.0,(1|40)
0.04379562,6.0,(1|37)
0.04065040,5.0,(1|36)
0.03375527,8.0,(1|39)
0.02816901,2.0,(1|25)
0.02409638,2.0,(3|5)
0.02173913,2.0,(8|32)
0.02061856,2.0,(4|39)
0.01785714,1.0,(2|40)
0.01754386,1.0,(43|41)
0.01666667,2.0,(5|42)
0.01612903,1.0,(2|35)
0.01428571,1.0,(7|33)
0.01315789,3.0,(4|38)
0.01259446,5.0,(0|37)
0.01111111,1.0,(3|47)
0.01075269,1.0,(2|34)
0.01047120,2.0,(2|47)
0.009569378,2.0,(6|10)
0.009174312,2.0,(0|38)
0.009174312,2.0,(0|39)
0.009174312,2.0,(49|37)
0.009090909,1.0,(0|34)
0.008464329,7.0,(24|35)
0.008264462,1.0,(7|32)
0.007407407,1.0,(7|47)
0.007042253,1.0,(25|34)
0.005847953,1.0,(5|36)
0.005780347,2.0,(8|33)
0.005714286,1.0,(7|34)
0.005586592,1.0,(2|39)
0.005291005,1.0,(2|33)
0.005208333,1.0,(3|37)
0.005181347,1.0,(4|34)
0.005076142,1.0,(6|38)
0.005050505,1.0,(19|11)
0.005050505,1.0,(20|11)
0.005000000,1.0,(2|36)
0.004926108,1.0,(48|7)
0.004830918,1.0,(18|3)
0.004739337,1.0,(27|1)
0.004728132,2.0,(9|38)
0.004694836,1.0,(15|29)
0.004415011,2.0,(0|35)
0.004175365,2.0,(5|43)
0.004132231,1.0,(13|30)
0.003752345,2.0,(38|43)
0.003484321,1.0,(44|32)
0.003311258,1.0,(18|6)
0.002906977,1.0,(22|0)
0.002739726,1.0,(17|12)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.001379310,1.0,(27|0)
0.001131222,1.0,(16|49)
0.0008097166,1.0,(25|45)
0.0007806401,1.0,(47|49)
