Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 471 | Health Business Clinical Integration (jp:471,idx:299)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(49|35)
0.3642384,165.0,(0|35)
0.3437500,11.0,(1|34)
0.3134796,100.0,(1|35)
0.1818182,20.0,(0|34)
0.1707317,21.0,(1|36)
0.1250000,7.0,(2|40)
0.1219512,10.0,(0|36)
0.08064516,5.0,(2|35)
0.07936508,5.0,(2|41)
0.05586592,10.0,(2|39)
0.04761905,1.0,(1|41)
0.04545455,1.0,(0|32)
0.04411765,3.0,(1|38)
0.03225806,2.0,(3|40)
0.02919708,4.0,(1|37)
0.02919708,4.0,(3|39)
0.02727273,3.0,(2|37)
0.02469136,2.0,(3|38)
0.02325581,4.0,(6|41)
0.02109705,5.0,(1|39)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02061856,2.0,(6|49)
0.02000000,4.0,(2|36)
0.01785714,1.0,(2|38)
0.01408451,1.0,(1|25)
0.01369863,1.0,(2|5)
0.01265823,2.0,(1|40)
0.01063830,1.0,(4|40)
0.01063830,1.0,(16|4)
0.01010101,2.0,(19|11)
0.01010101,2.0,(20|11)
0.009708738,1.0,(19|4)
0.009345794,1.0,(28|1)
0.007407407,1.0,(7|47)
0.005780347,2.0,(8|33)
0.004739337,1.0,(31|19)
0.004651163,1.0,(25|2)
0.004385965,1.0,(4|38)
0.004175365,2.0,(5|43)
0.003759399,1.0,(5|41)
0.002906977,1.0,(22|0)
0.002739726,1.0,(17|12)
0.002518892,1.0,(0|37)
0.002369668,1.0,(35|34)
0.001748252,1.0,(4|10)
0.001209190,1.0,(24|35)
