Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 476 | Patent-Prosecution-Design (jp:476,idx:304)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3697917,142.0,(24|15)
0.3238994,206.0,(23|16)
0.3000000,3.0,(23|11)
0.3000000,3.0,(24|12)
0.3000000,3.0,(24|13)
0.1975807,49.0,(25|15)
0.1897810,52.0,(24|16)
0.1666667,1.0,(23|15)
0.1355932,24.0,(25|14)
0.1293103,15.0,(24|14)
0.1192661,26.0,(26|14)
0.08695652,2.0,(24|17)
0.07468880,18.0,(26|15)
0.06620209,19.0,(25|16)
0.04672897,15.0,(23|13)
0.04347826,2.0,(25|11)
0.03539823,8.0,(28|15)
0.03448276,4.0,(27|14)
0.03333334,2.0,(27|11)
0.03174603,4.0,(2|45)
0.03146853,9.0,(26|16)
0.02949852,10.0,(27|15)
0.02888087,8.0,(28|14)
0.02352941,4.0,(26|9)
0.02325581,4.0,(28|16)
0.02255639,3.0,(27|9)
0.02145923,5.0,(27|13)
0.02127660,2.0,(26|13)
0.02000000,1.0,(21|12)
0.01960784,2.0,(10|35)
0.01960784,4.0,(22|11)
0.01941748,4.0,(26|17)
0.01908397,5.0,(27|12)
0.01851852,3.0,(25|13)
0.01785714,5.0,(29|16)
0.01785714,1.0,(49|29)
0.01724138,2.0,(29|10)
0.01724138,3.0,(29|49)
0.01639344,1.0,(18|14)
0.01626016,2.0,(33|11)
0.01581028,4.0,(32|14)
0.01562500,1.0,(8|25)
0.01562500,3.0,(28|10)
0.01369863,3.0,(27|10)
0.01363636,3.0,(26|10)
0.01234568,1.0,(22|5)
0.01190476,1.0,(21|11)
0.01185771,6.0,(25|12)
0.01149425,1.0,(32|11)
0.01136364,2.0,(2|14)
0.01041667,1.0,(28|13)
0.01010101,1.0,(25|9)
0.009933775,3.0,(27|16)
0.009868421,3.0,(28|43)
0.009803922,1.0,(27|42)
0.009779952,4.0,(26|12)
0.009708738,1.0,(32|2)
0.009389671,2.0,(31|13)
0.009118541,3.0,(26|8)
0.008968610,2.0,(22|10)
0.008968610,2.0,(24|9)
0.008849557,2.0,(29|13)
0.008771930,1.0,(22|15)
0.008746356,3.0,(31|16)
0.008658009,2.0,(1|9)
0.008658009,2.0,(2|9)
0.008474576,1.0,(24|1)
0.008310249,3.0,(1|11)
0.008152174,3.0,(2|12)
0.007936508,1.0,(1|8)
0.007936508,1.0,(2|7)
0.007936508,2.0,(30|16)
0.007751938,1.0,(30|11)
0.007575758,1.0,(31|11)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007352941,1.0,(2|8)
0.007155635,4.0,(14|35)
0.007025761,3.0,(20|8)
0.006896552,1.0,(14|33)
0.006329114,1.0,(33|10)
0.005747126,1.0,(26|5)
0.005681818,1.0,(31|12)
0.005464481,2.0,(23|6)
0.005405406,1.0,(24|8)
0.005263158,1.0,(29|14)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004739337,1.0,(23|8)
0.004672897,1.0,(31|14)
0.004566210,1.0,(30|15)
0.004444445,1.0,(21|5)
0.004444445,1.0,(22|6)
0.004210526,2.0,(11|37)
0.004106776,2.0,(28|6)
0.003745318,1.0,(28|12)
0.003436426,1.0,(23|4)
0.003384095,2.0,(33|9)
0.003105590,1.0,(25|0)
0.003039514,1.0,(23|12)
0.002631579,1.0,(1|13)
0.002610966,1.0,(24|6)
0.002551020,1.0,(23|10)
0.002444988,1.0,(11|35)
0.002325581,1.0,(19|5)
0.002217295,1.0,(9|33)
0.002109705,1.0,(32|41)
0.001715266,1.0,(30|5)
0.001642036,1.0,(26|0)
0.001209190,1.0,(24|35)
