Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 497 | Health Comp-Medicare-Medicaid (jp:497,idx:325)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02439024,2.0,(0|36)
0.01785714,1.0,(2|38)
0.01785714,1.0,(2|40)
0.01492537,1.0,(12|19)
0.01445087,5.0,(8|33)
0.01265823,3.0,(1|39)
0.01162791,1.0,(48|31)
0.01142857,2.0,(7|34)
0.01127820,3.0,(5|41)
0.01086957,1.0,(8|32)
0.01081081,2.0,(6|33)
0.008000000,1.0,(4|43)
0.008000000,1.0,(4|44)
0.007299270,1.0,(3|39)
0.005882353,1.0,(25|35)
0.005813953,1.0,(6|41)
0.005235602,1.0,(2|47)
0.005076142,1.0,(6|38)
0.005000000,1.0,(2|36)
0.004524887,1.0,(27|2)
0.003603604,2.0,(16|2)
0.002518892,1.0,(0|37)
0.001209190,1.0,(24|35)
